"Informazioni cronologiche","Con quante persone vivi?","Chi fa solitamente la spesa in casa tua?","Quanto tempo impieghi a preparare la lista della spesa?","Ti pesa dover ricordare ogni volta cosa manca per comprarlo al supermercato?","Ti è mai capitato di tornare dal supermercato e accorgerti di aver dimenticato un prodotto essenziale?","Quanto spesso dimentichi di inserire qualcosa nella lista della spesa?","Come comunichi con i tuoi coinquilini/familiari su cosa comprare?","Quanto spesso dimentichi di avere un prodotto che sta per scadere?","Ti pesa dover ricordare le scadenze?","Ti darebbe fastidio se un'app analizzasse ciò che compri per aiutarti e diminuire gli sprechi?","Saresti disposto a usare un'app che monitora la tua dispensa e ti avvisa delle scadenze in automatico?","Ti piacerebbe conoscere quali sono i supermercati della tua zona con un click?","Con quale frequenza ti rechi solitamente al supermercato?","Quali di queste funzionalità riterresti più utili in un'app per la gestione della spesa? (Seleziona le 3 che preferisci)"
"2026/06/18 9:42:16 PM EEST","3","Genitore","5 minuti","non so","si","Qualche volta","whatsapp;vado con loro/io a fare la spesa;lista cartacea","Raramente","no","no","si","si","2-3 volte a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza"
"2026/06/18 9:43:05 PM EEST","2","Genitore","5-10 minuti","non so","si","Non spessissimo","whatsapp;lista cartacea","Spesso","non so","no","si","si","Solo una volta al mese","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/18 9:43:44 PM EEST","2","Sia io che mia mamma ","Non faccio la lista","non so","no","non faccio la lista ","whatsapp;chiamate;vado con loro/io a fare la spesa","quasi mai, consumo prima quelli ","no","no","si","si","Solo una volta al mese","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 9:46:01 PM EEST","2","Tutti","15 minuti","si","si","90% delle volte direi","chiamate;lista cartacea","a volte","si","no","si","si","2-3 volte a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 10:00:52 PM EEST","2","Io","1 hour","no","si","Once a mouth","vado con loro/io a fare la spesa","Rarely","si","no","si","si","2-3 volte a settimana","Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 10:13:56 PM EEST","4","Genitore","Non la faccio","no","no","Raramente ","whatsapp;chiamate","Raramente ","no","no","non so","No","Una volta a settimana","Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 10:14:09 PM EEST","4","I miei, ma a volte anche io","Un po' di tempo ","si","si","Succede spesso ","whatsapp;lista cartacea","Ogni tanto mi succede ","si","no","si","si","Una volta a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 10:15:58 PM EEST","0 (da solo)","Io","Compro sul momento ","non so","si","Mai","vado con loro/io a fare la spesa","Molto raramente ","non so","no","si","si","2-3 volte a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili"
"2026/06/18 10:18:18 PM EEST","1","Genitore","tempo di un dibattito tra me e mia mamma per decidere cosa manca e cosa ci serve ","si","no","quasi mai","whatsapp;vado con loro/io a fare la spesa","quasi mai ","no","no","si","si","2-3 volte a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 10:21:39 PM EEST","4","Genitore","5/10 minuti","no","si","raramente ","whatsapp;chiamate;vado con loro/io a fare la spesa","spesso soprattutto per quanto riguarda lo yogurt","si","no","si","Non so","2-3 volte a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili"
"2026/06/18 10:21:55 PM EEST","1","Io","Pochi minuti ","no","no","Mai","vado con loro/io a fare la spesa","Quasi mai","no","si","si","si","Quasi ogni giorno","Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 10:39:05 PM EEST","1","Tutti","5 minuti","si","si","Spessissimo","whatsapp;vado con loro/io a fare la spesa","Tipo sempre","si","no","si","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 10:57:13 PM EEST","4","Genitore","non la faccio ","non so","si","non lo so","whatsapp;chiamate;vado con loro/io a fare la spesa","spesso ","no","no","si","si","Una volta a settimana","Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 10:58:18 PM EEST","2","Io","15 min","si","si","Ogni tanto ","vado con loro/io a fare la spesa;lista cartacea","Succede","si","si","no","No","2-3 volte a settimana","Notifiche push per prodotti in scadenza"
"2026/06/18 10:58:29 PM EEST","2","Insieme con mia madre","Dipende ma credo 1 oretta ","si","no","Nessuna","Si va insieme e se non si può andare basta su Whatsapp con la chiamata normale","Nessuna","non so","si","no","si","2-3 volte a settimana","Nessuna"
"2026/06/18 10:59:18 PM EEST","3","Genitore","20 minuti","si","si","Sempre ","Mi scordo e non comunico ","A volte","si","no","si","Non so","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/18 11:05:24 PM EEST","3","Genitore","Meno di dieci minuti","si","si","Poche volte","whatsapp","Poche volte ","no","no","si","si","2-3 volte a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/18 11:16:54 PM EEST","4","Genitore","Non la faccio ","no","si","Quasi mai","whatsapp","Qualche volta ","non so","no","si","si","Una volta a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili"
"2026/06/18 11:31:17 PM EEST","2","Io","Ho una lista standard fatta a inizio anno","no","si","Quasi mai","whatsapp","Molto spesso","si","si","no","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 12:12:03 AM EEST","3","Io","20 minuti","no","si","Poche volte","whatsapp;chiamate;vado con loro/io a fare la spesa;lista cartacea","Tanto","non so","no","si","si","2-3 volte a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 12:38:43 AM EEST","1","Io","Non preparo la lista","non so","si","Non faccio la lista ","whatsapp","Sempre ","si","no","si","si","Una volta a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 2:10:24 AM EEST","4","Genitore","5 minuti","no","si","quasi sempre ","whatsapp;vado con loro/io a fare la spesa","ogni tanto ","no","no","si","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/19 10:47:09 AM EEST","4","Tutti","Poco","no","si","Poco","whatsapp","Tanto","si","si","no","si","2-3 volte a settimana","Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/19 11:01:38 AM EEST","3","Genitore","Non la faccio ","no","si","Non faccio liste della spesa ","Dico a voce ","Molto spesso","non so","no","no","si","Una volta a settimana","Notifiche push per prodotti in scadenza"
"2026/06/19 11:23:39 AM EEST","1","Genitore","Pochi secondi ","no","si","Poche volte ","whatsapp","Quasi mai ","no","no","non so","No","Una volta a settimana","Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/19 12:37:03 PM EEST","0 (da solo)","Io","Non la faccio","no","no","Mai","whatsapp","Sempre","no","si","no","No","Una volta a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 3:20:49 PM EEST","4","Genitore","5/10 minuti ","non so","si","Spesso","whatsapp","Raramente ","si","no","si","si","Una volta a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 3:26:18 PM EEST","0 (da solo)","Genitore","5 minuti ","no","si","Poco","whatsapp;vado con loro/io a fare la spesa","Molto poco","no","no","si","si","2-3 volte a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili"
"2026/06/19 3:49:24 PM EEST","4","Io e mio marito ","Mezz'ora ","no","si","Poche volte","whatsapp;chiamate;vado con loro/io a fare la spesa","Spesso ","si","no","si","si","2-3 volte a settimana","Notifiche push per prodotti in scadenza;Statistiche grafiche delle spese mensili"
"2026/06/19 5:56:40 PM EEST","1","Io","Poco","si","no","Talvolta ","Bring","Molto spesso","si","no","si","No","2-3 volte a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 5:58:32 PM EEST","3","Genitore","Poco","no","si","Poco","chiamate","Poco","no","non so","non so","Non so","Una volta a settimana","Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 6:01:18 PM EEST","4","Io","Non la preparo","no","si","Poche volte","whatsapp","Poche volte","non so","si","no","si","2-3 volte a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Suggerimenti di ricette basati sugli ingredienti in dispensa;Indicazione delle calorie dei prodotti in dispensa😅"
"2026/06/19 6:02:21 PM EEST","3","Io","Poco tempo ","no","si","Spsso","lista cartacea","Spesso ","si","no","si","si","2-3 volte a settimana","Sincronizzazione della lista in tempo reale tra coinquilini"
"2026/06/19 6:49:50 PM EEST","3","Genitore","5 minuti ","si","si","Abbastanza comune ","whatsapp;App smartphone dedicata","Spesso ","si","no","si","No","2-3 volte a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 7:25:09 PM EEST","3","Io","10 minuti ","no","no","Si","whatsapp","Sempre","si","no","si","si","Quasi ogni giorno","Scannerizzazione automatica dello scontrino per aggiungere prodotti;"
"2026/06/19 7:43:52 PM EEST","4","Io","Cinque minuti ","si","si","Mai","chiamate","Mai","si","no","no","si","Una volta a settimana","Suggerimenti di ricette basati sugli ingredienti in dispensa"
"2026/06/19 8:19:53 PM EEST","2","Io","Dipende da cosa devo prendere massimo un quarto d ora ","si","si","Sempre ","whatsapp","Sempre ","si","no","si","si","Quasi ogni giorno","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 8:57:48 PM EEST","0 (da solo)","Io","1 minuto","non so","si","Qualche volta","whatsapp","Qualche volta","si","no","non so","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Suggerimenti di ricette basati sugli ingredienti in dispensa;Statistiche grafiche delle spese mensili;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
"2026/06/19 9:26:11 PM EEST","3","Genitore","10 minuti","si","si","Spesso","chiamate","Spesso","si","si","no","No","2-3 volte a settimana","Statistiche grafiche delle spese mensili"
"2026/06/20 1:58:32 PM EEST","1","Io","1 ora","no","no","Mai","App","Una volta al mese","no","no","si","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini"
"2026/06/20 11:48:04 PM EEST","1","Io","15 min","si","si","non sempre","whatsapp;vado con loro/io a fare la spesa","molto spesso","si","no","si","si","Una volta a settimana","Sincronizzazione della lista in tempo reale tra coinquilini;Notifiche push per prodotti in scadenza;Scannerizzazione automatica dello scontrino per aggiungere prodotti"
